id,Township,timestamp,population,longitude,latitude,AC_output_yearly,pcode_ts,hh_t,YR 1,YR 2,YR 3,YR 4,YR 5,YR 6,Total_Score,Total_yearly_demand,Normalized AC output,Normalized Ability to Pay,Normalized demand
47,Nawngmun,01-05-2016 00:33,1254,97.858272,27.872876,984.9034424,MMR001017,1212,424200,621756,818100,1015656,1212000,1248360,15,5340072,0.069681418,0.064102564,0
49,Pin Laung,01-05-2016 00:16,197,96.70433,20.051745,1155.764282,MMR014009,42083,14729050,21588579,28406025,35265554,42083000,43345490,43,185417698,0.403626004,0.423076923,0.679891539
50,Pletwa,01-05-2016 00:56,150,92.65926667,21.71770979,1261.957764,MMR004009,19516,6830600,10011708,13173300,16354408,19516000,20101480,13,85987496,0.611179347,0.038461538,0.304488139
51,Puta-O,01-05-2016 00:10,119,97.52121,27.31584,991.6856689,MMR001014,10743,3760050,5511159,7251525,9002634,10743000,11065290,25,47333658,0.082937164,0.192307692,0.158548757
52,Salin,01-05-2016 00:11,127,94.293521,20.811354,1276.814331,MMR009010,55605,19461750,28525365,37533375,46596990,55605000,57273150,28,244995630,0.640216253,0.230769231,0.904830821
53,Sidoktaya,01-05-2016 00:11,96,94.157387,20.591865,1280.384521,MMR009011,10780,3773000,5530140,7276500,9033640,10780000,11103400,23,47496680,0.647194128,0.166666667,0.159164255
54,Sinbaungwe,01-05-2016 00:07,155,95.69352,19.63149,1295.821777,MMR009017,28684,10039400,14714892,19361700,24037192,28684000,29544520,26,126381704,0.67736598,0.205128205,0.45699837
55,Tangyan,30-04-2016 23:57,682,98.302566,22.528804,1126.035767,MMR015004,35142,12299700,18027846,23720850,29448996,35142000,36196260,35,154835652,0.345522131,0.320512821,0.564427588
56,Tanintharyi,30-04-2016 23:57,731,99.0380694,12.8701308,1447.581909,MMR006008,19929,6975150,10223577,13452075,16700502,19929000,20526870,28,87807174,0.97397856,0.230769231,0.311358419
57,Taungoo,30-04-2016 23:57,78,96.20930017,18.9164523,1307.134155,MMR007009,57460,20111000,29476980,38785500,48151480,57460000,59183800,51,253168760,0.69947583,0.525641026,0.935688858
58,Thapaung,30-04-2016 23:58,109,94.654133,17.367156,1331.072876,MMR017003,37237,13032950,19102581,25134975,31204606,37237000,38354110,30,164066222,0.74626365,0.256410256,0.599278038
59,Thayet,30-04-2016 23:55,101,95.141574,19.271407,1301.538452,MMR009012,25972,9090200,13323636,17531100,21764536,25972000,26751160,40,114432632,0.688539124,0.384615385,0.411884087
60,Tilin,30-04-2016 23:54,123,94.002434,21.86835,1259.458008,MMR009024,10532,3686200,5402916,7109100,8825816,10532000,10847960,34,46403992,0.606293616,0.307692308,0.15503876
61,Tontar,01-05-2016 00:46,180,99.2389901,21.4784027,1138.810303,MMR016002,8025,2808750,4116825,5416875,6724950,8025000,8265750,31,35358150,0.370489742,0.269230769,0.113334664
63,Yamethin,01-05-2016 00:50,74,96.36245774,20.45258737,1151.051514,MMR010023,57259,20040650,29373867,38649825,47983042,57259000,58976770,34,252283154,0.39441498,0.307692308,0.932345211
65,Yebyu,01-05-2016 00:50,214,97.895465,14.73484,1430.767578,MMR006004,26350,9222500,13517550,17786250,22081300,26350000,27140500,37,116098100,0.941115238,0.346153846,0.41817214
66,Yedashe,01-05-2016 00:00,64,96.04282,19.191412,1302.801514,MMR007010,50527,17684450,25920351,34105725,42341626,50527000,52042810,41,222621962,0.691007757,0.397435897,0.820357986
68,YwaNgan,01-05-2016 00:00,287,96.5136184,21.36496305,1140.176514,MMR014007,18348,6421800,9412524,12384900,15375624,18348000,18898440,26,80841288,0.373159978,0.205128205,0.285058389
69,dawei,01-05-2016 00:45,76,98.489044,14.238671,1435.355469,MMR006001,29133,10196550,14945229,19664775,24413454,29133000,30006990,60,128359998,0.950082193,0.641025641,0.464467512
72,pharsaung,01-05-2016 00:45,69,97.0653386,18.8694152,1169.43811,MMR015005,16457,5759950,8442441,11108475,13790966,16457000,16950710,50,72509542,0.430351267,0.512820513,0.253601491
73,phekhon,30-04-2016 23:57,666,96.7173998,19.65506933,1160.390991,MMR014010,20084,7029400,10303092,13556700,16830392,20084000,20686520,43,88490104,0.412668828,0.423076923,0.313936853
